iter	Passed	Remaining
156	1625	8730
157	1633	8704
158	1635	8652
159	1638	8600
160	1639	8543
161	1641	8491
162	1658	8517
163	1661	8470
164	1663	8419
165	1666	8372
166	1669	8326
167	1677	8305
168	1679	8257
169	1684	8222
170	1690	8196
171	1693	8150
172	1695	8103
173	1697	8058
174	1699	8012
175	1706	7991
176	1709	7947
177	1711	7904
178	1713	7860
179	1715	7817
180	1722	7795
181	1730	7776
182	1732	7734
183	1737	7707
184	1741	7670
185	1743	7630
186	1748	7600
187	1755	7581
188	1757	7541
189	1759	7501
190	1762	7463
191	1764	7424
192	1771	7407
193	1773	7368
194	1786	7374
195	1789	7340
196	1792	7306
197	1795	7271
198	1800	7248
199	1803	7212
200	1805	7176
201	1807	7141
202	1809	7105
203	1816	7088
204	1819	7054
205	1821	7020
206	1823	6986
207	1825	6952
208	1843	6978
209	1851	6965
210	1853	6931
211	1855	6898
212	1858	6865
213	1865	6850
214	1867	6818
215	1869	6786
216	1872	6754
217	1874	6723
218	1880	6707
219	1883	6676
220	1885	6645
221	1898	6653
222	1901	6623
223	1903	6593
224	1905	6563
225	1911	6546
226	1913	6517
227	1915	6487
228	1918	6458
229	1920	6429
230	1922	6400
231	1925	6374
232	1929	6350
233	1949	6380
234	1956	6369
235	1958	6340
236	1960	6312
237	1963	6286
238	1965	6258
239	1971	6244
240	1974	6217
241	1976	6190
242	1989	6196
243	1991	6170
244	1994	6144
245	1996	6118
246	2002	6104
247	2004	6079
248	2007	6054
249	2009	6028
250	2011	6002
251	2018	5990
252	2020	5965
253	2023	5943
254	2036	5948
255	2038	5923
256	2040	5899
257	2042	5875
258	2045	5851
259	2061	5868
260	2064	5844
261	2066	5820
262	2069	5797
263	2071	5774
264	2078	5764
265	2080	5741
266	2082	5718
267	2085	5695
268	2087	5672
269	2094	5663
270	2096	5640
271	2099	5618
272	2101	5596
273	2108	5586
274	2110	5564
275	2112	5542
276	2115	5521
277	2117	5499
278	2123	5486
279	2125	5465
280	2129	5447
281	2131	5426
282	2133	5405
283	2150	5421
284	2157	5413
285	2159	5392
286	2162	5371
287	2164	5351
288	2166	5331
289	2169	5312
290	2172	5292
291	2174	5271
292	2176	5251
293	2178	5232
294	2181	5212
295	2183	5192
296	2185	5173
297	2187	5153
298	2193	5143
299	2196	5124
300	2198	5105
301	2200	5086
302	2203	5067
303	2209	5058
304	2211	5040
305	2214	5021
306	2216	5003
307	2218	4984
308	2226	4978
309	2230	4965
310	2233	4947
311	2235	4930
312	2242	4921
313	2245	4905
314	2248	4888
315	2257	4886
316	2262	4875
317	2265	4858
318	2267	4840
319	2269	4823
320	2271	4805
321	2274	4788
322	2276	4771
323	2283	4763
324	2285	4746
325	2287	4730
326	2290	4713
327	2292	4696
328	2298	4688
329	2301	4671
330	2303	4655
331	2305	4639
332	2308	4623
333	2316	4618
334	2318	4603
335	2321	4586
336	2323	4570
337	2328	4561
338	2332	4547
339	2334	4532
340	2340	4522
341	2347	4516
342	2349	4500
343	2351	4484
344	2355	4471
345	2363	4467
346	2366	4452
347	2368	4437
348	2370	4422
349	2377	4414
350	2379	4399
351	2381	4384
352	2383	4369
353	2385	4354
354	2392	4347
355	2395	4332
356	2397	4317
357	2399	4303
358	2401	4288
359	2409	4282
360	2411	4268
361	2413	4254
362	2416	4239
363	2418	4225
364	2425	4219
365	2427	4205
366	2429	4191
367	2432	4176
368	2434	4162
369	2440	4156
370	2444	4143
371	2463	4158
372	2465	4144
373	2472	4138
374	2474	4124
375	2477	4111
376	2479	4097
377	2482	4084
378	2489	4078
379	2491	4064
380	2493	4051
381	2496	4038
382	2498	4024
383	2505	4019
384	2508	4006
385	2510	3993
386	2512	3980
387	2520	3975
388	2522	3962
389	2525	3949
390	2527	3936
391	2529	3924
392	2536	3917
393	2539	3905
394	2549	3904
395	2551	3892
396	2554	3879
397	2556	3866
398	2558	3854
399	2564	3847
400	2567	3834
401	2569	3822
402	2571	3809
403	2574	3797
404	2579	3789
405	2581	3777
406	2584	3765
407	2586	3752
408	2588	3740
409	2590	3728
410	2593	3716
411	2595	3704
412	2597	3692
413	2599	3680
414	2606	3674
415	2608	3662
416	2612	3651
417	2614	3640
418	2616	3628
419	2633	3637
420	2641	3632
421	2643	3620
422	2646	3609
423	2648	3597
424	2655	3592
425	2657	3580
426	2659	3569
427	2662	3557
428	2664	3546
429	2671	3541
430	2673	3530
431	2676	3519
432	2678	3507
433	2685	3502
434	2688	3491
435	2690	3480
436	2692	3469
437	2695	3458
438	2702	3453
439	2704	3442
440	2707	3431
441	2709	3420
442	2711	3409
443	2719	3404
444	2721	3394
445	2723	3383
446	2725	3372
447	2739	3375
448	2744	3368
449	2746	3357
450	2749	3346
451	2752	3336
452	2754	3326
453	2761	3321
454	2763	3310
455	2766	3299
456	2768	3289
457	2770	3279
458	2773	3269
459	2776	3259
460	2779	3249
461	2781	3239
462	2788	3233
463	2790	3223
464	2793	3213
465	2795	3203
466	2797	3193
467	2804	3188
468	2807	3178
469	2809	3168
470	2811	3158
471	2814	3147
472	2817	3139
473	2819	3128
474	2828	3125
475	2830	3115
476	2832	3105
477	2834	3095
478	2836	3085
479	2842	3079
480	2844	3069
481	2847	3059
482	2849	3050
483	2851	3040
484	2858	3035
485	2861	3025
486	2863	3016
487	2865	3006
488	2867	2996
489	2874	2991
490	2877	2982
491	2880	2974
492	2882	2964
493	2885	2955
494	2891	2949
495	2893	2940
496	2895	2930
497	2898	2921
498	2900	2911
499	2907	2907
500	2910	2898
501	2912	2889
502	2914	2879
503	2920	2874
504	2924	2866
505	2926	2857
506	2931	2850
507	2938	2845
508	2940	2836
509	2942	2827
510	2945	2818
511	2947	2809
512	2954	2804
513	2956	2795
514	2959	2786
515	2961	2777
516	2963	2768
517	2965	2759
518	2968	2750
519	2970	2742
520	2972	2733
521	2979	2728
522	2981	2719
523	2983	2710
524	2985	2701
525	2988	2692
526	2990	2683
527	2992	2675
528	2995	2666
529	2997	2658
530	2999	2649
531	3007	2645
532	3010	2637
533	3012	2629
534	3022	2627
535	3024	2618
536	3026	2609
537	3029	2601
538	3031	2592
539	3038	2588
540	3040	2579
541	3042	2571
542	3045	2562
543	3047	2554
544	3054	2550
545	3057	2541
546	3060	2534
547	3062	2525
548	3069	2521
549	3071	2513
550	3073	2504
551	3075	2496
552	3078	2488
553	3085	2483
554	3087	2475
555	3119	2491
556	3121	2482
557	3123	2474
558	3126	2466
559	3128	2458
560	3135	2453
561	3137	2445
562	3140	2437
563	3142	2429
564	3144	2421
565	3147	2413
566	3149	2405
567	3151	2397
568	3154	2389
569	3159	2383
570	3162	2376
571	3165	2368
572	3167	2360
573	3169	2352
574	3176	2348
575	3179	2340
576	3181	2332
577	3183	2324
578	3186	2316
579	3192	2311
580	3195	2304
581	3197	2296
582	3199	2288
583	3202	2281
584	3209	2276
585	3212	2269
586	3215	2262
587	3223	2258
588	3225	2250
589	3227	2243
590	3230	2235
591	3232	2227
592	3238	2222
593	3240	2215
594	3242	2207
595	3245	2199
596	3247	2192
597	3255	2188
598	3258	2181
599	3265	2176
600	3272	2172
601	3274	2164
602	3276	2157
603	3279	2149
604	3281	2142
605	3287	2137
606	3291	2130
607	3293	2123
608	3295	2115
609	3302	2111
610	3305	2104
611	3312	2099
612	3319	2095
613	3321	2088
614	3323	2080
615	3326	2073
616	3328	2066
617	3334	2061
618	3337	2053
619	3339	2046
620	3341	2039
621	3343	2032
622	3350	2027
623	3353	2020
624	3359	2015
625	3371	2014
626	3373	2006
627	3375	1999
628	3381	1994
629	3384	1987
630	3388	1981
631	3391	1974
632	3397	1969
633	3400	1963
634	3403	1956
635	3408	1950
636	3416	1947
637	3418	1939
638	3435	1940
639	3437	1933
640	3440	1926
641	3447	1922
642	3449	1915
643	3452	1908
644	3454	1901
645	3456	1894
646	3463	1889
647	3465	1882
648	3468	1875
649	3470	1868
650	3472	1861
651	3474	1854
652	3477	1847
653	3479	1841
654	3482	1834
655	3488	1829
656	3491	1822
657	3493	1815
658	3495	1808
659	3498	1802
660	3504	1797
661	3508	1791
662	3510	1784
663	3515	1778
664	3522	1774
665	3524	1767
666	3527	1760
667	3529	1754
668	3536	1749
669	3538	1742
670	3540	1736
671	3543	1729
672	3545	1722
673	3553	1718
674	3555	1711
675	3557	1705
676	3560	1698
677	3566	1693
678	3569	1687
679	3571	1680
680	3573	1673
681	3575	1667
682	3577	1660
683	3580	1653
684	3583	1647
685	3585	1641
686	3587	1634
687	3594	1630
688	3597	1623
689	3600	1617
690	3604	1611
691	3611	1607
692	3613	1600
693	3616	1594
694	3618	1587
695	3626	1583
696	3628	1577
697	3630	1570
698	3633	1564
699	3635	1558
700	3642	1553
701	3644	1547
702	3647	1540
703	3649	1534
704	3651	1527
705	3657	1523
706	3660	1516
707	3662	1510
708	3664	1504
709	3666	1497
710	3674	1493
711	3676	1487
712	3678	1480
713	3681	1474
714	3683	1468
715	3685	1461
716	3687	1455
717	3689	1449
718	3695	1444
719	3699	1438
720	3702	1432
721	3707	1427
722	3716	1423
723	3718	1417
724	3720	1411
725	3722	1405
726	3730	1400
727	3732	1394
728	3735	1388
729	3737	1382
730	3739	1376
731	3742	1370
732	3744	1363
733	3747	1357
734	3749	1351
735	3751	1345
736	3759	1341
737	3761	1335
738	3763	1329
739	3765	1323
740	3772	1318
741	3775	1312
742	3777	1306
743	3779	1300
744	3781	1294
745	3788	1289
746	3791	1284
747	3794	1278
748	3802	1274
749	3804	1268
750	3807	1262
751	3809	1256
752	3816	1251
753	3818	1245
754	3820	1239
755	3823	1233
756	3825	1228
757	3831	1223
758	3834	1217
759	3836	1211
760	3838	1205
761	3841	1199
762	3850	1195
763	3853	1190
764	3856	1184
765	3918	1197
766	3920	1191
767	3922	1184
768	3924	1178
769	3938	1176
770	3940	1170
771	3947	1165
772	3949	1159
773	3951	1153
774	3954	1147
775	3956	1141
776	4030	1156
777	4032	1150
778	4034	1144
779	4037	1138
780	4039	1132
781	4046	1127
782	4048	1121
783	4050	1116
784	4052	1110
785	4054	1104
786	4062	1099
787	4064	1093
788	4066	1087
789	4069	1081
790	4071	1075
791	4078	1071
792	4082	1065
793	4084	1059
794	4086	1053
795	4088	1047
796	4090	1041
797	4092	1036
798	4099	1031
799	4101	1025
800	4104	1019
801	4106	1013
802	4108	1007
803	4115	1003
804	4117	997
805	4184	1007
806	4186	1001
807	4189	995
808	4191	989
809	4199	985
810	4201	979
811	4204	973
812	4206	967
813	4208	961
814	4214	956
815	4217	951
816	4220	945
817	4222	939
818	4224	933
819	4226	927
820	4230	922
821	4232	916
822	4234	910
823	4242	906
824	4244	900
825	4247	894
826	4249	888
827	4264	885
828	4273	881
829	4275	875
830	4278	870
831	4281	864
832	4283	858
833	4290	853
834	4292	848
835	4295	842
836	4297	836
837	4304	832
838	4306	826
839	4308	820
840	4311	815
841	4313	809
842	4320	804
843	4322	798
844	4340	796
845	4342	790
846	4344	784
847	4346	779
848	4357	774
849	4359	769
850	4367	764
851	4369	759
852	4372	753
853	4374	747
854	4376	742
855	4383	737
856	4385	731
857	4390	726
858	4392	721
859	4394	715
860	4397	709
861	4399	704
862	4401	698
863	4408	693
864	4410	688
865	4413	682
866	4415	677
867	4417	671
868	4424	667
869	4429	661
870	4432	656
871	4434	650
872	4441	646
873	4444	640
874	4447	635
875	4456	630
876	4458	625
877	4461	619
878	4463	614
879	4466	609
880	4473	604
881	4475	598
882	4478	593
883	4480	587
884	4487	583
885	4489	577
886	4491	572
887	4494	566
888	4496	561
889	4504	556
890	4506	551
891	4508	545
892	4511	540
893	4513	535
894	4520	530
895	4523	524
896	4525	519
897	4527	514
898	4534	509
899	4537	504
900	4539	498
901	4541	493
902	4543	488
903	4561	484
904	4568	479
905	4570	474
906	4573	468
907	4575	463
908	4577	458
909	4580	452
910	4582	447
911	4584	442
912	4586	437
913	4588	431
914	4592	426
915	4594	421
916	4596	416
917	4599	410
918	4606	405
919	4608	400
920	4610	395
921	4612	390
922	4614	384
923	4621	380
924	4625	375
925	4627	369
926	4629	364
927	4635	359
928	4647	355
929	4655	350
930	4657	345
931	4659	339
932	4661	334
933	4667	329
934	4669	324
935	4672	319
936	4674	314
937	4676	309
938	4683	304
939	4686	299
940	4688	293
941	4690	288
942	4692	283
943	4700	278
944	4702	273
945	4704	268
946	4706	263
947	4709	258
948	4715	253
949	4717	248
950	4720	243
951	4722	238
952	4724	233
953	4732	228
954	4734	223
955	4736	218
956	4739	212
957	4745	208
958	4749	203
959	4752	198
960	4756	193
961	4759	187
962	4761	182
963	4763	177
964	4765	172
965	4773	168
966	4775	162
967	4777	157
968	4789	153
969	4791	148
970	4794	143
971	4796	138
972	4798	133
973	4805	128
974	4807	123
975	4810	118
976	4812	113
977	4814	108
978	4821	103
979	4824	98
980	4826	93
981	4829	88
982	4846	83
983	4854	78
984	4856	73
985	4858	68
986	4860	64
987	4863	59
988	4870	54
989	4872	49
990	4874	44
991	4876	39
992	4884	34
993	4886	29
994	4888	24
995	4890	19
996	4893	14
997	4900	9
998	4902	4
999	4904	0
